Madman OG
=============
lyddybug,https://www.leafly.com/hybrid/madman-og/reviews/1414152,"“I GOT A VOLCANO BITCHES!!!! AND MADMAN IS GOOOOOD!! 

Really though, Madman is a miracle for my body/back pain, and I immediately "sigh" that stress out. You sigh deep & that feeling relaxed your stomach on exhale. Medicating with it out of a volcano just now (I GOT A VOLCANO BITCHES!!!) was just extra amazing. I highly recommend it, worth every penny so you can really taste the terpenes & never have to feel a burn i...”"
HIM916,https://www.leafly.com/hybrid/madman-og/reviews/1381812,"“Another great Indica for getting much needed sleep/relaxation. Madman OG has a deep green hue and sour/piney scent. After a few weeks hiatus, I decided to give some new strains a try, and Madman came highly recommended. Madman's smoke is rich and my experiences conclude that the high is slow to take hold, but it's potent and it lasts. Perfect night-time sleep aid or post-workout recovery strain.”"
kushedpops,https://www.leafly.com/hybrid/madman-og/reviews/1381811,"“this strain definately creates a mellowman. Has that oG funk smell, smooth but hits to the chest. The strain i have taste like coffee, went back to check the flavors and sure enough there it was! Was debating glad i hadnt.”"
kokopu92,https://www.leafly.com/hybrid/madman-og/reviews/1390134,"“Relaxed me and helped me sleep.”"
greenRegan,https://www.leafly.com/hybrid/madman-og/reviews/1417064,"“Bomb starin.  Wonderful anytime.”"
LiftedLadybuG71,https://www.leafly.com/hybrid/madman-og/reviews/1363931,"“LA Conf. & OG Kush Cross .... ? Isnt The Cataract Kush the same  cross ???? I've been smoking on Cataract for the past year & i love it !”"
prendelo507,https://www.leafly.com/hybrid/madman-og/reviews/1476575,"“I loved it !! It's seriously amazing. I have intense insomnia and anxiety yet this manages to relax me so well that I sleep soundly and awake well rested. It won't make you sleepy though it'll just relax you so don't worry if you're in a social setting/using in the daytime. It's a miracle for me tbh only cons are that it does give munchies and--at least for me--the high doesn't last that long and it goes from 100 to ...”"
DrFrank868,https://www.leafly.com/hybrid/madman-og/reviews/1381814,"“This new strain has made me find of another,Larry og. this strain amplifies a lot of its parent strain genetics. Phenotypes of the parents are greatly imbued in this delicious strain. users will feel drawn to sleep as well as much relaxed and chill after a nice toke”"
ChronicPrincess,https://www.leafly.com/hybrid/madman-og/reviews/1431320,"“bomb.com!!!! very tastey and medically effective.”"
gelmel89,https://www.leafly.com/hybrid/madman-og/reviews/1615048,"“Not sure why anxiety and paranoia are listed as negatives, bc i personally didnt feel much of either at all. and im an extremely anxious person. i take anti-anxiety medication for my insane anxiety and also to help me sleep b/c i have restless leg syndrome, and there are many many strains that make me feel more anxious! THIS IS NOT ONE OF THEM, THOUGH! maybe its just for me, but other reviews i read said it helped th...”"
