Hog's Breath
=============
MarijuaNaut,https://www.leafly.com/indica/hogs-breath/reviews/1398895,"“I'll give this stuff somewhere between an 8.5 and a 9. 

When I heard we were picking some up two days ago, my initial reaction was a mix between curiosity and skepticism. I had never heard of 'Hog's Breath' before, and I didn't really get a, "Wow, that sounds awesome!", sensation from the name. Nonetheless, when it arrived, we loaded up the standard glass pipes, smoked a good three or four hits....and, slowly real...”"
LegitLogic,https://www.leafly.com/indica/hogs-breath/reviews/1372534,"“This has been a Top favorite Indica since it was intoduced to me back in 06'. This is a very Pungent smelling Indica that will easily lay you out. Very narcotic stone, great for insomnia and pain. Highly recommended!”"
desybear13,https://www.leafly.com/indica/hogs-breath/reviews/1343648,"“i bought just some shake of this strain and i have been sick with the flu for nearly a week not being able to eat a single meal. when i tried this, i finally was able to build up an appetite and not feel nauseous. i know i will be able to eat a full meal tonight and not feel so fatigued in the morning :) definitely recommend!!!”"
LiddleMarky,https://www.leafly.com/indica/hogs-breath/reviews/1389531,"“Bought a half O of this and I must say the high is a phenomenal experience. So peaceful and a total knock out. Satisfy your munchies and find a place to chill. I recommend hot boxing with a couple J's. You'll know it's good when you feel the punch.”"
beyondthecarla,https://www.leafly.com/indica/hogs-breath/reviews/1303506,"“this shit had so much keef and has kept me high for most of today”"
Lunarjane,https://www.leafly.com/indica/hogs-breath/reviews/1398998,"“I just tried Hogs Breath in a preroll. It's 3:30 am and I wanted to get back to sleep. I feel so relaxed and calm, I'd like to stay up a bit and enjoy this because it's so rare with PTSD to feel this way. I gave it 5 stars because it's made me feel the least amount of fight or flight anxiety I've had in awhile. Thank you to the Swine God, bless you 🐖🐖🐖”"
jnastyx420,https://www.leafly.com/indica/hogs-breath/reviews/1372535,"“Dude, this shit will kick your ass. 

I took a couple hits from this bong shaped bubbler, and felt the effects almost instantly.  I was stuck on the couch in the den area, all the lights were cut off, my family had on Life of Pi. Watching while faded blew my mind. After the movie I consumed a large amount of rocky road ice and red velvet cake. Anyways this is some powerful/magical shit.”"
XoraKJoken,https://www.leafly.com/indica/hogs-breath/reviews/1360737,"“Overall a very pleasant strain. The quarter I picked up of it seemed very well grown for the level of grow available, though I would like to see it grown in a more advanced setup. Onto the buds; the sharp smell is enticing to say the least. Upon smoking I found relaxing yet uplifting high very akin the Buddha's Sister. Great for smoking with friends, not the best pain relief. Would recommend to recreational smokers /...”"
OGknownforsmoking,https://www.leafly.com/indica/hogs-breath/reviews/1399000,"“Ima heavy smoker. It's what I'm known for. This shit is good I just smoked two joints back to back and I feel good. On some James brown shit. But I just don't want to speak. Just think.”"
AndoranGambler,https://www.leafly.com/indica/hogs-breath/reviews/1070413,"“Bizarrely named, but easily one of the heaviest creative stones I have experienced recently.  Great scents, dense nugs, overall a great smoke.”"
JackDanieL,https://www.leafly.com/indica/hogs-breath/reviews/1070403,"“The nug stinks, the smoke stinks, you stink -- its Hog's Breath!  Certainly one of the most aptly named strains I've come across, though not necessarily one of my favorites.  It did win the Cannabis Cup and it is a pretty looking Hindu Kush who had a one night stand with some Afghani, and I love a love story, but the jar I got didn't win me over.  I've heard that when its right, it can be the business - so I hope to ...”"
aleia.beia,https://www.leafly.com/indica/hogs-breath/reviews/1070421,"“hog's breath is one of the best strains i have had, and trust me- i get around. it always gets me lifted and relaxes me. if you want a peaceful, happy, goofy high hog's breath is perfect.”"
MedicalGod,https://www.leafly.com/indica/hogs-breath/reviews/1358218,"“I personally like this strain because it's calms down my pain on my joints in my hand and I can go out with friends and be socials and talk a lot and it makes them laugh and it makes me laugh so I'd recommend this strain of you have social anxiety and it even works if you have pain it just puts you in a calm and relaxed mood and u just start talking and get creative. This strain is 4/5”"
persian503,https://www.leafly.com/indica/hogs-breath/reviews/1398989,"“An unbridled symphony of linalool and caryophyllene thunder in your mouth as you vaporize this savory herb.  She hits hard and is pleasing with clove and vanilla floral notes.  Hog's Breath is incredibly satisfying.”"
mrduespaid,https://www.leafly.com/indica/hogs-breath/reviews/1399001,"“Total sleeper strain. It tastes very much like moss... it's an odd, earthy, but yet smooth and consistent flavor. After a nice J, I was faded. It's got a nice kick on the backend. I would have rated higher but the flavor is boring and plentiful.”"
arden808,https://www.leafly.com/indica/hogs-breath/reviews/1284417,"“really
 cripp ass budd. u can actually tastes the dank!”"
arden808,https://www.leafly.com/indica/hogs-breath/reviews/1284417,"“really
 cripp ass budd. u can actually tastes the dank!”"
Fireslayer805,https://www.leafly.com/indica/hogs-breath/reviews/1352719,"“wow. this strain is no joke. i was super happy with this!! almost too happy, but completely stuck!!”"
RUCKU5,https://www.leafly.com/indica/hogs-breath/reviews/1388477,"“Loved this strain. Mellowed me out but didn't wipe me out. Really nice to look at, even better to taste. Something to keep around as a way to wind down without crashing.”"
icenitribe,https://www.leafly.com/indica/hogs-breath/reviews/1179006,"“This is actually a review for "the Hog" which is a southern staple strain,it's an Indica in effect mostly but its cerebral enough to bring doubts about marriage to your 2nd cousin .”"
capitandemisterio,https://www.leafly.com/indica/hogs-breath/reviews/1398984,"“If you're looking for a good yield on rosin this is the best strain for it.”"
MastaMace92,https://www.leafly.com/indica/hogs-breath/reviews/1178935,"“Bomb Ass strain. We got some sent to us and Oh My God it had a very Pungent Aroma that filled the entire room just from a small amount. The taste was just like it smelled so you know it's some kill. Very good medication forsure loved the high got me all giggly and tingly:)”"
biggnate143,https://www.leafly.com/indica/hogs-breath/reviews/1398981,"“very dank! body and head high are great”"
