Maple Leaf
=============
MrKhronicz,https://www.leafly.com/indica/maple-leaf-indica/reviews/1372171,"“One of the first legendary strains, in my opinion, I tried.

I understand highly what it means when they say, "if enjoyed too much, can bring on a deep sleep".
Me and my girl got a bag of this stuff, smelled amazing and was sticky like syrup.
Got home, packed my favourite Yoda bong with a fat bowl, hit it, put a bowl for my girl and she hit it.
The high, I would like to note here, is  almost immediate, but once it st...”"
chipe,https://www.leafly.com/indica/maple-leaf-indica/reviews/1384693,"“my favorite indica, makes you feel like warm melting butter, one bowl put me to sleep even though i usually have to take like 3 wax hits to sleep. great for insomnia, extreme stress relief, muscle tightness, nerve pain. i havent tried it in the daytime.”"
MyJokerHandStayLIT,https://www.leafly.com/indica/maple-leaf-indica/reviews/1360183,"“Instantly melts your body into a feel-good Jell-O but you are in control. Instantly relaxed stress anxiety believed in overall feeling of well-being this is a great strain”"
GreenGreenWA,https://www.leafly.com/indica/maple-leaf-indica/reviews/1631712,"“This Bushy, sturdy, resilliant Cannabis Plant is Legendary! I've grown her outdoors in the Puget Sound Region and she loves the atmosphere. After the Dark Green Foliage is formed I cut the larger fan leaves to give the bottom some love too. This babe flowers at warp speed without much smell at all. It produces light green flower with the most trichome coverage i've ever seen! After the full plant hang dry and subsequ...”"
SamSimnitt,https://www.leafly.com/indica/maple-leaf-indica/reviews/1284440,"“DANK!!! Strong aroma, beautiful to look at, covered in white crystals. Smokes well and tastes fine but causes major cottonmouth. After a single bowl my whole body felt relaxed, after 3 bowls I melted into the couch. Perfect for pain relief of any kind, insomnia, and even anxiety!”"
Yodes,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358720,"“Like a bag full of sugar, this strain is covered in crystals.
I recently purchased a lovely roor glass bong (well worth the money) and decided i would try something new, and i tried the legendary leaf it is amazing!!! After my 2nd bowl i started sinking into the couch and then i laughed for a while, and finished off as a struggle to hold my eye-lids up. I would recomend this to anyone who has sleeping problems or un...”"
HelloBello,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358723,"“Insomnia has been a problem but not with this strain. Maple Leaf Indica has a purpose and seems to deliver everytime!”"
MattS,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358724,"“Solid strain!  mixed it with another indica and knocked me out! Also very nice taste to it”"
MattS,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358724,"“Solid strain!  mixed it with another indica and knocked me out! Also very nice taste to it”"
Mastrom12,https://www.leafly.com/indica/maple-leaf-indica/reviews/1372172,"“Helped all symptoms to do with colitis - nausea, pain, appetite, anxiety and stress. Really great for depression also. Heavy couch locking body buzz with a strong uplifting and creative head high. Perfect for late afternoon and evening time, would love to try this herb again”"
Anonymous,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358721,"“this shit fucked me upp!!!”"
MelodizeYourLife,https://www.leafly.com/indica/maple-leaf-indica/reviews/1233750,"“One of my all time favorites :) perfect indica-balanced high not couch locking but uplifting. Years ago she gave me a few expressions-one that tasted like drinking maple syrup, another like eating pancakes. Was a fine yielder as well. If i could grow would get seeds and do the whole garden to find the syrup again. To this day flavor wise only the dj shorts blue from 2000 era can compete-the one that tasted like the m...”"
quiqueguilarm1,https://www.leafly.com/indica/maple-leaf-indica/reviews/1337156,"“A good indica it really helps with sleep also it is sedative and you will feel so relaxed that you won't get up hahaha. The smell of this strain is pretty sweet and the flavor is sweet.
I smoked this strain in vaporizer and pipe, i think that is better to smoke it in vaporizer because it kicks better and last longer.
Greetings from Mexico :)”"
wendy1969,https://www.leafly.com/indica/maple-leaf-indica/reviews/1142743,"“The strain maple leaf made me feel less pain, less stress, but made me hungry!”"
mjayyroxxatcod,https://www.leafly.com/indica/maple-leaf-indica/reviews/1319108,"“Canadias weed is good weed. Just look at bc bud. Great taste. Great smell. Good high. Enough said. Makes me very sleepy good for insomnia”"
wabasso4life,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358722,"“the maple leaf indica im refering to is a pheno thats from florida. ive been smoking this strain for the last 10 years. its the stinkyest herb ive ever came across.super dense, super potent”"
HappyStonerMom,https://www.leafly.com/indica/maple-leaf-indica/reviews/1470063,"“First strain of Indica I have ever smoked and all I can say is WOW! I am super relaxed, my anxiety has calmed, and I could easily fall asleep. I have a few chronic issues that cause pain all day and this has relieved much of the pain.”"
undyingLeaves,https://www.leafly.com/indica/maple-leaf-indica/reviews/1358719,"“smooth , i like it”"
Treehugger13,https://www.leafly.com/indica/maple-leaf-indica/reviews/1411897,"“One of the best strains I've smoked yet. Definitely a very heavy indica. I just smoked a bowl of this listening to "late night jazz" on Spotify, it's been a great night.”"
Ankush22,https://www.leafly.com/indica/maple-leaf-indica/reviews/1321276,"“Smooth tasting heavy indica”"
