Legend OG
=============
ajr819,https://www.leafly.com/indica/legend-og/reviews/1415518,"“Great strain. This one showed up suddenly in Berkeley (I got mine from the CBCB) and boy does it live up to its name! I am a heavy medical user, which can be frustrating because my tolerance is high. It can be difficult to find strains that are strong enough to give me a notable, undeniably medicinal effect. 

This is a couch-lock high, and the CBCB describes this as "Sedative. Good for sleep" on its website, while a...”"
hjb420,https://www.leafly.com/indica/legend-og/reviews/1412166,"“Tasty, tangy, and relaxing ... calms u down and puts u in the right headspace. Not subtle. You will look lit af and feel lit af. Good for couchlock. Helps with creativity as well.”"
EST19XX.LACEUP,https://www.leafly.com/indica/legend-og/reviews/1423322,"“Love it. I have an Autoimmune Disease called Rheumatoid Arthritis, anxiety+panic attacks, insomnia and migraines. Although it doesn't help with the migraines, but it does ease the Chronic pain a lil bit. It gives my body a numb feeling, helps my anxiety and helps me sleep. Overall, I like how it makes me relaxxed.”"
mkmenard82,https://www.leafly.com/indica/legend-og/reviews/1412167,"“Chilled out relaxed is putting it lightly great for my sleep issues”"
finestrains,https://www.leafly.com/indica/legend-og/reviews/1412168,"“If you can get a hold of a high quality version of this strain do it! I got a hold of some organic and potent og legend and the relaxation and mood boost are great. Great nights sleep and just a true medicine. Grateful to have some”"
hemlocklily,https://www.leafly.com/indica/legend-og/reviews/1395871,"“This one was excellent for sleep and pain relief. It was incredibly calming, I felt so laid back and relaxed.”"
fueledbyham,https://www.leafly.com/indica/legend-og/reviews/1345011,"“Got this in shatter form recently and to be honest it is just ok. Tastes like vaping pine-sol, typical heavy indica effects. Great for sleep but gave me a headache”"
Mrchiefgas,https://www.leafly.com/indica/legend-og/reviews/1684085,"“This is some HIGH GRADE GAS, if you’re looking to get faded with some homies than this is for you😉”"
mountaineerron,https://www.leafly.com/indica/legend-og/reviews/1450163,"“Enjoy this strain....I like the relaxation and calmness I get from this' Will definitely make your eyes heavy.   In a very cool way.”"
Entiquity,https://www.leafly.com/indica/legend-og/reviews/1469440,"“Very relaxing strain. If you are looking for something to help you sink into a couch for a few hours, this is for you. Good head high to let your mind wander if you want it to and a solid body high to accompany it.”"
prosperityreviewscencal,https://www.leafly.com/indica/legend-og/reviews/1388191,"“this strain is a great end to a day that involves mentally or physically exhausting tasks. takes away tension headaches unnoticeably fast, if you suffer from anxiety, this takes the edge away.”"
legalized74,https://www.leafly.com/indica/legend-og/reviews/1554688,"“Man just the name “LEGEND” alone should stick out at you. It is truly the barer of its name.. wonderful smoke all the way around.. I’m just mad that I only had 5 grams left on my card, but that’s all right I got half ounce back today!!! Yea!! Lol .. Legendary O.G is at the top of my indica line!!🔥🔥💯👌🏾💪🏾”"
Moss1310,https://www.leafly.com/indica/legend-og/reviews/1513471,"“A great , heavy strain. Perfect for night time when you have no plans. Smoke enough and your mind will shut down all of your worries and you’ll go for a fun body high ride.”"
SallyAnn17,https://www.leafly.com/indica/legend-og/reviews/1528222,"“Such a beautiful flower! The relaxation effects sneak up and lasts a long while. 

I'm glad to have found this strain”"
