Ace Killer OG
=============
John18,https://www.leafly.com/indica/ace-killer-og/reviews/1395737,"“5/11/2016
It's 8:32 am, and I've just done the unthinkable...I inhaled 3 big hits of, "Ace Killer Og."  No worries though....I've done it for scientific research, to get the full effects of this strain right out of the sack, and judging by the increasing sloppiness of my handwriting, (I'm writing this longhand on a yellow legal pad to be transcribed on computer), it's sending a profound message:
"I am strong; I am mi...”"
KingKush,https://www.leafly.com/indica/ace-killer-og/reviews/1387558,"“Fire Fire Fire! #1 strain in he World!   Hand Down. Fire Fire Fire. 
If you Are a Real Smoker you Must Try this before you crown all. The Best!! Ever”"
lalalandcollective,https://www.leafly.com/indica/ace-killer-og/reviews/1356357,"“Ace Killer is no joke... Be ready! it is not for everyone (but  yet everyone must try it at least once or as much as you can handle or-enjoy;)) and you must do it asap.  You will have to travel to LA, CA to get the Real OG but its known that this strain is been spreading out through out the world and soon to hit every local (respectful) dispensary world wide. Enjoy My GFriends”"
Douglas73,https://www.leafly.com/indica/ace-killer-og/reviews/1348747,"“This is fire got some Ace Killer at KingKush Collective bomb!!!”"
KINGKUSHCOLLECTIVE,https://www.leafly.com/indica/ace-killer-og/reviews/1366466,"“So Fireeeeee. Today we Rolled it with Fresh Hash from the Middle East to add some spice to it and it made it Volcano Like Fire. Ace Killer is a must experience if you want to ever call your self a connoisseur of OG.”"
KingKush,https://www.leafly.com/indica/ace-killer-og/reviews/1385347,"“The Best!!! Fire each and every time!!!!”"
Oden79,https://www.leafly.com/indica/ace-killer-og/reviews/1366467,"“Tried out this strain at King kush. Has a very strong smell and will have you stuck. Loved this strain and I will try again very soon”"
EmileAjar,https://www.leafly.com/indica/ace-killer-og/reviews/1366468,"“That shit was STRONG. A little diesel taste to it. I was completely high after a couple hits. I felt very relaxed but surprisingly not sleepy at all. Pungent as hell. Munchies were a MESS. Couldn't recall the last time I ate like that after a buzz. Don't think it's so great for day-time but a perfect sunday chilling at home strain.”"
gbrlslzr,https://www.leafly.com/indica/ace-killer-og/reviews/1243362,"“Good strain to remove any bad mood or if you're struggling trying to sleep. Great for anyone looking for a quick comedown”"
tfast2,https://www.leafly.com/indica/ace-killer-og/reviews/1383894,"“Super potent ; had a really good taste. Defiantly a strain to burn before bed!”"
Rasta81,https://www.leafly.com/indica/ace-killer-og/reviews/1242231,"“some really excellent weed  must try”"
JimmyHappy,https://www.leafly.com/indica/ace-killer-og/reviews/1363228,"“Strong Fire OG Smell and taste, Really Bomb! Probably the strongest OG I have ever had in my life, WoW I can't believe I said that... SHIT! HA!  and I am keeping it that way! 
I gotta smoke more! I am going back to King Kush Collective to get some more Ace Killer OG in that Awesome Glass Jar (Awesome gift) Thank you :)”"
GreenStudioCollectiveGSC,https://www.leafly.com/indica/ace-killer-og/reviews/1244621,"“10 Star if it was Possible!!  Top TOP of the Top Private Reserve strain of all.  The OG smell is soooooooooooooooo powerful and the taste is perfect and it HITS HARD!!! We were knocked out (as far as I recall) lol
AWESOME FIRE!!”"
amadorin,https://www.leafly.com/indica/ace-killer-og/reviews/1248453,"“Tremenda variedad de marihuana, me encantó, demasiado fuerte, potente y golpeadora si la fumas en bong, mejor en porro, se lleva mucho mejor....”"
GeorgeAlfaro,https://www.leafly.com/indica/ace-killer-og/reviews/1254730,"“hit me hard af”"
Ogkushdaddy420,https://www.leafly.com/indica/ace-killer-og/reviews/1300273,"“This strain is always on point number 1 go to strain keeps me lit in the dimmest environments its got a strong taste of og  heavy high that puts me where I need to be sticky burns real slow”"
Thankful1,https://www.leafly.com/indica/ace-killer-og/reviews/1380285,"“Euphoria +++ Stress melter. Don't plan on being very active. Great aroma too. Fire!”"
jbabb86,https://www.leafly.com/indica/ace-killer-og/reviews/1288053,"“Great taste! I feel quite zooted(high) lol. I definitely recommend this strain.”"
green0wl,https://www.leafly.com/indica/ace-killer-og/reviews/1274798,"“If this is the same this as King Killer OG, then I'm smoking on some crumble and it's dope af :) I'm about to meditate and probably nap. The taste is leafy. I didn't get any citrus taste. The strain I have might be a Louie strain, but either way, it's close and it's tastey. I'm about to take my second dab and enjoy my nap yo”"
