Rainbow
=============
flipndip187,https://www.leafly.com/hybrid/rainbow/reviews/1379609,"“Just got a batch. Lot of purple and red blotches and bright orange and milky yellow hairs. Delightdul taste, fruity almost candy like. High reminded me of blue dream,very balanced.
FYI 90% of the pics on this page are altered to show the "rainbow colors". its painfully obvious lol. Very rare for a plant to show colors like that on the actual buds, usually the "purple" or other color in the name refers to the plants a...”"
skylitlisa,https://www.leafly.com/hybrid/rainbow/reviews/1374662,"“Oh Epic Rainbow Kush
You delight my senses
Twinkling purple streaks
Amid gold and crystalline embroidery
Your taste - smooth as a river
Flowing from my lips
My lips which relax into a smile
Smiling up at the sun
The sun smiling down on me
Me and my sweet little bowl
of Epic Rainbow Kush”"
hmmelani,https://www.leafly.com/hybrid/rainbow/reviews/1378484,"“This is the best strain I have found and it has to be the Rainbow with nothing added to the strain. I'm a high tolerance person where it's really hard to find strains that work, Rainbow was the first strain that I researched to find out that Rainbow was even better than the reviews. My only problem I have is that the availability since it so hard to find. For myself I have tried Rainbow Kush and it didn't work for me...”"
pfreelantz,https://www.leafly.com/hybrid/rainbow/reviews/1152523,"“This is exactly what you're looking for in a sativa if what you're looking for is enough energy to do the things you'd like to be doing and a head buzz that doesn't interfere with your cognitive abilities.”"
misterphish,https://www.leafly.com/hybrid/rainbow/reviews/1330427,"“From what I see in the pictures (the few out there) this is THE BUD!  In 1994 I lived in VA and drove cross country to Santa Barbara with my buddy to visit our bro.  Chillin on the beach on UCSB campus around sunset my friend and I are puffin' and we see two other people.  Of course we trade hits.  We had OK stuff from VA (when we usually got shaky seedy stick...ugh! yuck!), but nothing special.  This guy gives us a ...”"
Loveturd,https://www.leafly.com/hybrid/rainbow/reviews/1341713,"“This is shit fucking crazy!!!!!!!!!”"
Chrism429,https://www.leafly.com/hybrid/rainbow/reviews/1344428,"“I bought some of this on July 25 at Cannabis City in Seattle. I waited in line for 2 and a half hours and was only able to buy 2g. I wish I could have bought more, because this strain is very potent medicine. I have a high tolerance, but this strain gets me totally stoned. It works well for anxiety as well as insomnia. I will likely not find this strain again, as I am from New Mexico. If you come across this buy as m...”"
u420,https://www.leafly.com/hybrid/rainbow/reviews/1350843,"“This review is about some RSO made from the Rainbow strain. I picked it up at Canna-Daddy dispensary on the recommendation of the staff member who helped me, when I asked for something for muscle spasms and sleep. He said he had encounter nothing better for the muscle pain and spasms. The RSO is tested at about 35% THC and 13.5% CBD. No wonder it's good for muscles spasms and nerve problems with that kind of CBD cont...”"
cancereater,https://www.leafly.com/hybrid/rainbow/reviews/1156702,"“delicious smell and taste.  Leaves the air smelling really nice :-)  A good classic indica feel to it”"
bonghitslikedragons,https://www.leafly.com/hybrid/rainbow/reviews/1344430,"“Very sweet smell to these buds, but not overpowering. Would recommend for someone who wants pain management but still have a good head high. I have a somewhat high tolerance and after two bowls I was pretty lifted, got a tingly body throughout along with more social, but if you smoke too much you'll get a headache from this one. Really good strain!”"
Anonymous,https://www.leafly.com/hybrid/rainbow/reviews/1344431,"“A sweet, super dense bud that leaves you feeling like you're floating in the zero gravity of outer space. This fruity indica dominant strain leaves your mind in the clouds with your body buzzing on the ground. The smoke for me was pretty harsh but I love the high you get from it. Waves of euphoria that tingles in your toes and fingers make this bud a top 5 bud, if you can get it do it!!”"
crazycolton55,https://www.leafly.com/hybrid/rainbow/reviews/1157880,"“This weed has many different colors and when smoked has a very sweet taste like candy. This weed produced strong cerebral effects that gave me a blast at the state basketball tournament! Great weed for getting competitive”"
Anonymous,https://www.leafly.com/hybrid/rainbow/reviews/1067428,"“Very clean high, great for days when you don't have many responsibilities, when you have time to chill out. Also great for focusing on hard activities such as body boarding at the beach as well as enjoying warm sunny days as school begins to end :)”"
hmmelani,https://www.leafly.com/hybrid/rainbow/reviews/1242815,"“This is the best strain out their but it's so hard to find. If you can find Rainbow (not Rainbow Kush) get as much as you can.”"
candide.weed,https://www.leafly.com/hybrid/rainbow/reviews/1633063,"“extremely balanced hybrid that leaves you with a free-floating body and sharpened mind. perfect for a night on the town”"
anxietyadhdcrusher,https://www.leafly.com/hybrid/rainbow/reviews/1649670,"“Got a vape cartridge for this particular strain. Very nice, definitely helped to relax me as I am ADHD combined meaning ADD with ADHD. I also have high anxiety. This definitely did make my head a little foggy but not in an anxiety state. Definitely would recommend!”"
binomialgenus,https://www.leafly.com/hybrid/rainbow/reviews/1344432,"“Great as a muscle relaxant! Works better than baclofen for spacistity. Sedating, but still cerebral.”"
RobertSmyth,https://www.leafly.com/hybrid/rainbow/reviews/1157881,"“Vivaldi sounds great anytime but with this stuff I feel like I can experience every note.”"
EmeraldCitySmoker,https://www.leafly.com/hybrid/rainbow/reviews/1340510,"“This is one of my favorite strains.  Sometimes difficult to find, Rainbow and Rainbow Kush are great and I would recommend rainbow to high tolerance tokers who like a relaxing and euphoric high.”"
