Neville's Haze
=============
lucyinthehigh,https://www.leafly.com/sativa/nevilles-haze/reviews/1414961,"“Hands down my favorite weed of all time. This is what I thought smoking weed would he like before I actually started. It's the ideal strain! I'm so creative, more intellectual, and not zoned out! Perfect....”"
devin420,https://www.leafly.com/sativa/nevilles-haze/reviews/1212451,"“I smoked this nonstop when I had strep throat and I swear it cured me.”"
medijane,https://www.leafly.com/sativa/nevilles-haze/reviews/1396969,"“Nice strain for depression and stress.  Mood/mind altering for sure.  Will give you even more patients to deal with stressors.

Mid to heavy dose relieves depression, social anxieties & stress.  

Strain also warms the body and mind; great for arousal.

Decent energy and makes music even more bitchin'.”"
Anonymous,https://www.leafly.com/sativa/nevilles-haze/reviews/1396067,"“The high was one of the most pleasent experiences I've ever had. I grew outdoors, picked a bud off the plant and lit it up. My day immediately brightned I got that warm feeling of being at peace with the world.  It's an experience non-pot smokers will never feel and that's unfortunate. That part of the high only lasted about an hour but I felts its effects for hours later.”"
curiousgeorge03,https://www.leafly.com/sativa/nevilles-haze/reviews/1386703,"“Very good bud. Very dry and a good focused high - easy to smoke and hits you well”"
teddybud,https://www.leafly.com/sativa/nevilles-haze/reviews/1356738,"“best ever period”"
organicsarcasm,https://www.leafly.com/sativa/nevilles-haze/reviews/1396974,"“I had never heard of this strain until my buddy handed me a massive quantity and told me to stick my face in it and inhale deeply. I instantly fell in love as I do with all the different Haze's..it's safe to say that I'm a Hazy kinda person ;] It absolutely stinks, deeply and thoroughly. The high is pleasantly mellow, deep [like the smell], leaving you with the [sometimes dreaded] burn-out effect. This strain does wh...”"
uncleruckus19,https://www.leafly.com/sativa/nevilles-haze/reviews/1396971,"“Tastes and smells amazing. Strong uplifting buzz, great for mornings or when you need to get stuff done.”"
uncleruckus19,https://www.leafly.com/sativa/nevilles-haze/reviews/1396971,"“Tastes and smells amazing. Strong uplifting buzz, great for mornings or when you need to get stuff done.”"
ne0logic,https://www.leafly.com/sativa/nevilles-haze/reviews/1396973,"“This is a very powerful smoke. The taste is terrible, but on the plus side it doesn't take much. I can only relate my first experience of this strain to that of mushrooms. I heard subtle noises all around me, my mind would race, and every time I closed my eyes I saw techno color images swirling about. I wouldn't recommend this for a novice. My only thoughts on the reviews which stated this to be a weak smoke are that...”"
stevemillard117,https://www.leafly.com/sativa/nevilles-haze/reviews/1132219,"“not a bad high....kinda mellow.. but decently long lasting.
over all i liked it ! taste was very smooth. easy on the old lungs !”"
MdStonedStuckInNc,https://www.leafly.com/sativa/nevilles-haze/reviews/1396972,"“I picked up and O of what the person claimed was this, for 4/20. Very excited to be able to smoke it all day without wanting to pass out. Smoked about a gram of it already and it's very potent, the scent is strong lemon and diesel, taste is earthy, spicy, a true haze. As my girl friend and I both put it, this bud takes you to a different place than most any other buds do.”"
kennyhansen100,https://www.leafly.com/sativa/nevilles-haze/reviews/1356256,"“I have shatter made from this and it is one of the best i have ever dabbed so euphoric but not spacey makes you really want to get shit done. Amazing wake n bake strain”"
femmenista,https://www.leafly.com/sativa/nevilles-haze/reviews/1312188,"“Took me down from a brutal anxiety attack. Will now be a staple in my supply cabinet”"
Budstagramuk,https://www.leafly.com/sativa/nevilles-haze/reviews/1283838,"“Love this Sativa dom, perfect for a wake and bake, uplifting happy high, that has long lasting effects in my top 5 sativa's for sure!”"
Anonymous,https://www.leafly.com/sativa/nevilles-haze/reviews/1396983,"“This is my favourite strain of weed. It is a great tasting smoke and I would recommend it to anyone. The buzz you get is long lasting and very interesting, it's unlike other buds I've smoked. Nice in a joint and as a blunt.”"
Anonymous,https://www.leafly.com/sativa/nevilles-haze/reviews/1396983,"“This is my favourite strain of weed. It is a great tasting smoke and I would recommend it to anyone. The buzz you get is long lasting and very interesting, it's unlike other buds I've smoked. Nice in a joint and as a blunt.”"
Budstagramuk,https://www.leafly.com/sativa/nevilles-haze/reviews/1283838,"“Love this Sativa dom, perfect for a wake and bake, uplifting happy high, that has long lasting effects in my top 5 sativa's for sure!”"
denim,https://www.leafly.com/sativa/nevilles-haze/reviews/1396979,"“Very clear headed”"
beareatweedyum,https://www.leafly.com/sativa/nevilles-haze/reviews/1303981,"“Neville's Haze is an above-average Haze strain, with effects that lean toward the weightless cerebral kind, which I'm told are redolent of the earlier Haze varieties. The particular strain that I tried was one that was crossed with a variety called "citrus haze," which combine to create a highly pleasant lime flavor, which with the natural lemony flavor of Neville's Haze makes for delicious vapor bag and smoke. I fin...”"
lukehimes,https://www.leafly.com/sativa/nevilles-haze/reviews/1084121,"“Good body buzz and chilling feeling. A thinkers weed.”"
tschindari,https://www.leafly.com/sativa/nevilles-haze/reviews/1629179,"“this strain has become one of my fave one amongst the sativas I've tried so far. helps with treating pain and it will make you talkative and social in general. it smokes very soft and u get a long lasting cerebral high.”"
RaptorSlayer,https://www.leafly.com/sativa/nevilles-haze/reviews/1396984,"“Oh man, delicious and incredibly potent. Also the hairiest nugget I have ever seen.”"
laurryan,https://www.leafly.com/sativa/nevilles-haze/reviews/1765425,"“sexy strain!!”"
laurryan,https://www.leafly.com/sativa/nevilles-haze/reviews/1765425,"“sexy strain!!”"
Kaihuna,https://www.leafly.com/sativa/nevilles-haze/reviews/1414964,"“Just picked this up after doing a ton of research on Frankincense smelling strains...I have only smoked it outdoors so still don't have a good read on that part.  The high is almost immediate upon exhale & relaxed/mellow on the whole.  Looking forward to smoking more of this.”"
poweller32,https://www.leafly.com/sativa/nevilles-haze/reviews/1396976,"“very very strong haze,tryed this for my first weed in Amsterdam put a nice bud in the pipe smoked it and it hit me like a ton of bricks,very trippy weed,had to go back to hotel to try snap out of it,thought everyone was looking at me.all i can say is be aware”"
AngelWolf666,https://www.leafly.com/sativa/nevilles-haze/reviews/1396982,"“Smoking this one tasted like smoking alfalfa, both in smell and taste. 

It also leaves me giggly, euphoric, and slightly numb in body. It also leaves me less talkative.”"
organicsarcasm,https://www.leafly.com/sativa/nevilles-haze/reviews/1396975,"“I've recently come to find out that this strain is a Sativa dominate hybrid, as opposed by my previous journal entry [In which I stated this was an Indica, derp]. All I have to say is, along with MotherShip, this is my new favourite hybrid. It's got that dominate awesome heady high, while keeping it super mellow with a strong indica. A perfect yin/yang of sorts. I've also recently learned the lineage of this strain.....”"
denim,https://www.leafly.com/sativa/nevilles-haze/reviews/1396979,"“Very clear headed”"
ELNiNo,https://www.leafly.com/sativa/nevilles-haze/reviews/1396978,"“I must say that I was not impressed by it. A very clear head high, I felt very focused and able to do everything normal. It was like you feel the sensation in your head but you are still there a bit behind the eyes, deeper in your head. It is hard to describe. I felt a bit tingly in my fingers and talking was the best thing to do on this strain. However, like I said some other haze hybrids are stronger and last longe...”"
degzy,https://www.leafly.com/sativa/nevilles-haze/reviews/1203231,"“Loverly smoke”"
Miilan2010,https://www.leafly.com/sativa/nevilles-haze/reviews/1396985,"“Sweet tasting bud, which gets you rocked!”"
JCB44,https://www.leafly.com/sativa/nevilles-haze/reviews/1210581,"“by far my fav sativa.”"
