Kong
=============
DankKnight91,https://www.leafly.com/hybrid/kong/reviews/1384271,"“This is my new favorite strain. No, really. This strain feels easy on the lungs and the high is instant. A relaxing body high and all-around happiness will hit you within seconds of your first puff. 
You can keep smoking this and not really reach that "uncomfortable zone" many of us are familiar with, and is fairly priced for the product it is. You could drop more money on a strain like GSC and maybe get a more aggre...”"
CornBreadCollardGreens,https://www.leafly.com/hybrid/kong/reviews/1375720,"“All I can say is DAMN, this is one of the best strains I have ever smoked. The taste is unbelievable with such a citrusy & earthy taste, the smell is also awesome. Heavy hitter, will leave you ready to munch and hit the netflix. Whoever grew this did the damn thing.”"
mmjmomlegalizeit81,https://www.leafly.com/hybrid/kong/reviews/1373419,"“Kong has become a new favorite of mine lately. A great indica-dominant daytime strain for a seasoned smoker. I read that it helped with anxiety, and the anxiety really has dissipated compared to how I was feeling 5 minutes ago so that's a major bonus in my book. Well rounded heady/body high..you won't be disappointed. Annd you'll also be taking in a flower that hails from the other side of the world. Very cool!”"
1992andy420,https://www.leafly.com/hybrid/kong/reviews/1414479,"“great for alleviating pain and inflamation and helps me have an appitite.”"
GreenPie,https://www.leafly.com/hybrid/kong/reviews/1384273,"“The Kong is Strong!!! One of my new favorites for evenings. Heavy hitting waves of relaxation come at you soon after smoking this. I often have to lie down as I feel couch locked. But I feel really good, its really strong and almost debilitating cognitively, even mind warping, yet you don't care because you'll be on cloud 9. It is a strain I cannot write reviews while on it, it is just too potent. This is after the f...”"
BurninateDabs,https://www.leafly.com/hybrid/kong/reviews/1474765,"“Kong had me so toasted I fell asleep during the last review I did on Kong”"
LoCoDank,https://www.leafly.com/hybrid/kong/reviews/1466368,"“Fantastic. Picked this up at the Grove in Vegas. Love the feeling from this strain. Very relaxing. Put my wife and I to sleep every night we used it. Very chill and not too trippy. She suffers from chronic pain and said it helped her a ton. Would def recommend for medical purposes.”"
BurninateDabs,https://www.leafly.com/hybrid/kong/reviews/1531331,"“Kong is pretty good, but nothing special.  I have had both flower & concentrate both have a skunky taste & are obviously indica dominant.
I am smoking mid day & now I am couch locked.  
I bet today isn't going to be productive....”"
hollymw,https://www.leafly.com/hybrid/kong/reviews/1374728,"“i was hunting the flower called " grandpa purple". i NEED something strong to stop the muscle spasm's and  dull the shooting pain down my leg. it wasn't at my dispensary but i was told Kong would be good for my pain. yep, I'm hurting but i don't care, my brain is so HIGH it is helping me. i feel like I'm melting into the couch. that's it baby, thank God for the ganja.”"
BurninateDabs,https://www.leafly.com/hybrid/kong/reviews/1531331,"“Kong is pretty good, but nothing special.  I have had both flower & concentrate both have a skunky taste & are obviously indica dominant.
I am smoking mid day & now I am couch locked.  
I bet today isn't going to be productive....”"
CalbhaVaughn,https://www.leafly.com/hybrid/kong/reviews/1359537,"“one of the strongest n best strains I've had both recreational and medical. I have an extremely high tolerance and 3 hits off a .5 preoll n my head was gone my sunburn pain was gone n I was super giggly n happy. taste was sweet with citrus n seemed to me disely spices at the end. a strong flavor, smell, and high.”"
