Shiva Skunk
=============
HausParty,https://www.leafly.com/indica/shiva-skunk/reviews/1417292,"“Sharp, strong smell on beautiful looking buds. Very smooth, my buddy is normally a big cougher but he didn't have any trouble ripping this. The high was surprisingly clear-headed and alert for an Indica, which I find usually puts me to sleep. We giggled and talked and brainstormed for our D&D game, then I left for a date feeling completely relaxed.

To quote my buddy on this: "I'm fucked up, but I feel like I can s...”"
jessi.chval,https://www.leafly.com/indica/shiva-skunk/reviews/1374660,"“This strain was one of the first ones I ever obtained, and it has always been a favorite. Clean, happy, clearheaded stone with only a little bit of laziness as it wears off. Potent medicine for anxiety and stress. Helpful with pain, but more useful just to help you relax.”"
Cruciatus_Parvulus,https://www.leafly.com/indica/shiva-skunk/reviews/1399159,"“Beautiful buds, nice aroma, smooth and tasty smoke. Struck me as a social herb, not overpowering or too long lasting. A definite "mental health" herb, have the eye drops and a snack handy. Day use ok.”"
Blknred1984,https://www.leafly.com/indica/shiva-skunk/reviews/1370965,"“My personal number one.can't get enough.be careful though,smoke too much and you become narcaleptic.”"
RollinDoja216,https://www.leafly.com/indica/shiva-skunk/reviews/1360998,"“A very distinctive, skunky fumey smell that can make your nose hairs dance. Nice controllable high, tingly body rush with a buzz that's heavy yet easy to focus with. Red eyes that are glazed like dunkin donuts and a dry mouth make this one a noticeable high. Pretty good shit.”"
jamehhh,https://www.leafly.com/indica/shiva-skunk/reviews/1261998,"“As soon as you open the bag you are punched in the face by the skunky smell. It stinks so good!”"
LEQCANNASOINS,https://www.leafly.com/indica/shiva-skunk/reviews/1515422,"“I have just come across of an old strain review from 12 years ago of a Sensi created Indica dominant strain that I know as Shivas Shanti a three way cross between Classic Kush x Afghan x Skunk F1.  She is about 85% Indica to 15% Sativa.   

This very relaxing strain is a really decent pain killing strain that is also very cerebral, euphoric and thought provoking without being an overall sedative strain.   I can highl...”"
Pardanme,https://www.leafly.com/indica/shiva-skunk/reviews/1062999,"“Long lasting couch-lock stone
Efficient
Extremely powerful smell, keep in an airtight container and don't leave loose.
Great for sleep”"
gojokercat,https://www.leafly.com/indica/shiva-skunk/reviews/1368913,"“For me this was an awesome strain. No paranoia, not to racy, not to sleepy. Nice focused, mellow and happy strain. I would Highly recomend it to anyone who likes these effects. Not a super strong strain from the typical high sense but effective in the effects of relaxation and mellow focus.”"
jamehhh,https://www.leafly.com/indica/shiva-skunk/reviews/1261998,"“As soon as you open the bag you are punched in the face by the skunky smell. It stinks so good!”"
bc7110,https://www.leafly.com/indica/shiva-skunk/reviews/1368915,"“Nice relaxing cerebral high at first then slowly moves down the body, some nice euphoric sensations are starting, beginning to get hungry even though I just ate, very strong chronic pain relief, my mood is uplifted.”"
Anonymous,https://www.leafly.com/indica/shiva-skunk/reviews/1368914,"“very relaxing strain”"
GrimzReapy,https://www.leafly.com/indica/shiva-skunk/reviews/1186682,"“smoked this yesterday,  got me tripping everywhere lol”"
Lars1,https://www.leafly.com/indica/shiva-skunk/reviews/1359171,"“Beautiful strain! 
Just picked up some of this and it amazing, 
It has a very skunky smell, pretty pungent. Loaded a bowl of this in my vaporizer and I'm loving it! It has a very nice and sweet taste. The high kicks in quite late but it has me chilled out. I feel relaxed and I'm just enjoying my life, listening to some old school rap. This will make you enjoy and laugh about everything. 
I can recommend this strain f...”"
Sewell,https://www.leafly.com/indica/shiva-skunk/reviews/1379951,"“Made me feel like aliens were watching me.”"
Koa27,https://www.leafly.com/indica/shiva-skunk/reviews/1396287,"“Just pick up some crumble and it is amazing. I fell asleep with a BIG smile, and felt pain free after a hard day. Great sleepy time strain in my opinion.”"
okkesh,https://www.leafly.com/indica/shiva-skunk/reviews/1373001,"“I was amazed that an indica strain could give this much energy.

I smoked one joint and walked around the city for 10 kms without stopping. I was just ecstatic the whole time. Despite the effects listed here I never got hungry and when I arrived at home I felt like I could have walked another 10. 

Definitely one of my favorites.”"
thatfoodguy,https://www.leafly.com/indica/shiva-skunk/reviews/1450146,"“i love this one.  its strong but not overbearing.  i can still function AND i feel really happy while doing so.  thats the key here it's inspirational like a sativa but it's clearly an indica.  my 3rd favorite strain from this collective.”"
VliegendeHollander,https://www.leafly.com/indica/shiva-skunk/reviews/1715298,"“As a non experienced smoker this was one of my first experiences with a Indica dominant strain. I was always more interested in strains that are Sativa dominant and make me more active than lazy. I smoked this one after going home from a minor party and I was riding my bicycle. I smoked the whole pure joint without a break and enjoyed it without hurting my lungs. After five minutes already I could see the colours aro...”"
Koa27,https://www.leafly.com/indica/shiva-skunk/reviews/1396287,"“Just pick up some crumble and it is amazing. I fell asleep with a BIG smile, and felt pain free after a hard day. Great sleepy time strain in my opinion.”"
DurbanTurban,https://www.leafly.com/indica/shiva-skunk/reviews/1186681,"“I really liked the smokey, sedating effects of this strain. a true indica that did its job.  musky with a but of skunk in the background.  mostly woody and earthy, tho..
very nice bud structure, lots of orange hairs.”"
highbreezy,https://www.leafly.com/indica/shiva-skunk/reviews/1380115,"“I thought I was a skunk. I would freeze and stare at people when they crossed me in the streets and then scurry off into a bush”"
MsAredtail,https://www.leafly.com/indica/shiva-skunk/reviews/1304055,"“This has a heady rich earthy scent, and a mellow even high. Didn't put me to sleep, but definitely left me comfy and warm. Would be great for a little smoke in a forest clearing as long as you have time to lay down and admire the world!”"
cbr1000rr1,https://www.leafly.com/indica/shiva-skunk/reviews/1308124,"“i got a few fem seeds of this from Sensi Seeds and grew it outdoor in organic soil. finished faster than most other strains and the buds look awesome, frosty dankness and great smell, more fruity dankness than skunky. yield was average but the smoke is really good. still curing the buds they will only get better. super sticky buds, some of the best in my stock. will grow again. gets ya zonked.”"
thatfoodguy,https://www.leafly.com/indica/shiva-skunk/reviews/1450146,"“i love this one.  its strong but not overbearing.  i can still function AND i feel really happy while doing so.  thats the key here it's inspirational like a sativa but it's clearly an indica.  my 3rd favorite strain from this collective.”"
DurbanTurban,https://www.leafly.com/indica/shiva-skunk/reviews/1186681,"“I really liked the smokey, sedating effects of this strain. a true indica that did its job.  musky with a but of skunk in the background.  mostly woody and earthy, tho..
very nice bud structure, lots of orange hairs.”"
Koa27,https://www.leafly.com/indica/shiva-skunk/reviews/1396287,"“Just pick up some crumble and it is amazing. I fell asleep with a BIG smile, and felt pain free after a hard day. Great sleepy time strain in my opinion.”"
