Zkittlez
=============
John18,https://www.leafly.com/indica/zkittlez/reviews/1413831,"“Thank you for the investment of your time. I will try not to waste it.
Visual Inspections:
Various shades of green, with slight purple, but most striking is the OFF THE CHARTS thick coat of white crystalline structures throughout the buds, all the way down the stalks. The bud structure is more like a sativa or a hybrid, with the largest cola approximately 6"x2", in the ounce, but most buds 2" to 3" size.

The Nose:
T...”"
psychicsloth,https://www.leafly.com/indica/zkittlez/reviews/1416068,"“I just picked up about 7 grams of this ridiculously chronic strain for 45$ today from my home and I must say it's definitely one of my favorites right off the bat. These nugs are fuckin' COATED in trichomes. Lovely relaxing but focused high. Great for my anxiety and paranoia.”"
bobbyo415,https://www.leafly.com/indica/zkittlez/reviews/1417920,"“This is a highly overrated strain in flower form. I'll start with the caveat that no two grows are alike, but I purchased mine from Caliva, and it's THC tested at 23%, which is very high for this strain. 

Let's start with its strong points: the smell is amazing. It has a very complex berry smell that makes me want to duct tape my face to the jar. If you buy cannabis for smell alone, run to the store and buy an ounce...”"
cosmosinsanity,https://www.leafly.com/indica/zkittlez/reviews/1426155,"“Lifted to the Gods ! Never pass up on this strain !

Physical well being , Mental Clarity , Spiritual Purity

After some time passed, my hands started shaking and my heart rate rate increased. Surprisingly, I did not get paranoid or anxious. I was very calm. I grabbed a bottle of alkaline water and rehydrated. After that, I elevated to a divine state. 

This is easily my favorite strain alongside 
King Louie OG , and...”"
myladymj,https://www.leafly.com/indica/zkittlez/reviews/1390930,"“The flavor is amazing... It tastes like candy. And the high is super mellow. It made for a very relaxing night. I loved it .”"
FlyLindz,https://www.leafly.com/indica/zkittlez/reviews/1373361,"“Wow , just wow. Body is so relaxed I am slumped in a chair. Definitely not your  " productive " strains. However that not important, what's important is that I can sleep so well after smoking some zskittleS from 3rd family genetics . It's the perfect taste of fruity pebbles and it gets you so calm and relaxed pretty quick .
 Great after a long work week or if you just want to take "chillin" to a new level . Enjoy eve...”"
db0422,https://www.leafly.com/indica/zkittlez/reviews/1513388,"“I have the hardest time getting hungry. It usually takes combinations of strains to get me to choke down a few mouthfuls of food. This strain caught me completely by surprise; Ten hits in and I devoured an entire pizza by myself. It was amazing, my wife cried.”"
echelon7,https://www.leafly.com/indica/zkittlez/reviews/1415923,"“3.0 even... purchased this strain based on its Grape Ape lineage which is in my top 5 indicas for insomnia. Zkittles falls very short, and honestly after trying 30 strains now it's very underwhelming. I'm not understanding all the 5-star reviews. It doesn't put me at ease and make me want to relax or sleep. I'm tossing this one in my box of strains that will be OK to use mid-day to chill and still be functional, NOT ...”"
HigherthanCheshire,https://www.leafly.com/indica/zkittlez/reviews/1398922,"“One of the marvelous strains made by 3rd Gen Farms and promoted by Berner. Had my first try at Cookies SF with an amazing effect. But more recently I discovered it at a dispensary in Phx, and asked the manager where the seeds were from and what not. I was informed they are from Reef so a trusted grower in my eyes and Berners own Exotics line. 
Zkittlez is a fantastic strain. Expensive still because of the quality tha...”"
echelon7,https://www.leafly.com/indica/zkittlez/reviews/1415923,"“3.0 even... purchased this strain based on its Grape Ape lineage which is in my top 5 indicas for insomnia. Zkittles falls very short, and honestly after trying 30 strains now it's very underwhelming. I'm not understanding all the 5-star reviews. It doesn't put me at ease and make me want to relax or sleep. I'm tossing this one in my box of strains that will be OK to use mid-day to chill and still be functional, NOT ...”"
BaronOfBud,https://www.leafly.com/indica/zkittlez/reviews/1399480,"“Tazte Zhe Ztrain Bro!!!

2015 1st Place winner for Indica in San Fran and Michigan, can be considered a hybrid for it's sativa effects, focused relaxed euphoria.”"
ColtonElam,https://www.leafly.com/indica/zkittlez/reviews/1396020,"“Made me feel in a very relaxed state.
Tasted like a purple skittle!”"
Hu3yFr33man,https://www.leafly.com/indica/zkittlez/reviews/1394587,"“I'm talking about Zkittles extract ..... more specifically, a disposable vape pen cartridge... the taste is amazing ... highly fruity with heavy grape leanings, but, not sickly sweet like some"candy" strains... u can taste the sativa in the form of its earthy finish on the exhale ..... the high is fantastic, maybe a bit head heavy for the novice, but as a seasoned pro, I loved it.... creative, bubbly, cerebral and he...”"
polokyd4231,https://www.leafly.com/indica/zkittlez/reviews/1653490,"“Bro this strain is so amazing I just rolled it in a sweet aromatic game leaf and I love it!! I’m on cloud Zkittles rn....”"
BaronOfBud,https://www.leafly.com/indica/zkittlez/reviews/1378686,"“Dabbing High Caliber Extracts x LoudPack Extracts Zkittlez Nug Run along with High Caliber Extracts Zkittlez Nug Run. Terp and flavor profile off the charts, cup winning flower the wax is above and beyond. Picked em up at GreenwolfLA, tastes like skittles, sweet delicious balanced Indica 
hybrid effects. Wow!”"
patiences4not,https://www.leafly.com/indica/zkittlez/reviews/1368983,"“I am always looking for indicas that help with body pain or insomnia. This strain is the most beautiful indica strain i have smoked. With proper pacing and this strain NO fibromyagia pain. It was BEAUTIFUL! If you hurt, Smoke a little more and you melt into the sofa. Smoke a little more and it's bed time. I've found it once in my area. Please mister grower man, grow me some Zkittles for Eugene, OR.”"
trumanmoth,https://www.leafly.com/indica/zkittlez/reviews/1411780,"“Daytime strain through and through. Delicious flavors like you're... well, eating skittles. Great for anxiety and pain relief when you want to stay active. Really pairs nicely with a concert in my experience.”"
XavtheRipp,https://www.leafly.com/indica/zkittlez/reviews/1546516,"“The oil cartridges of this strain are delicious. By far my favorite flavored strain I’ve found so far”"
MeMeow,https://www.leafly.com/indica/zkittlez/reviews/1697602,"“I have anxiety, so I have to be careful about which strains I use and at which doses, etc... But I actually use cannabis to treat my anxiety.  (Cycling method CBD and THC)... Anyway, this strain is by far my favorite so far.  Also tastes amazing!!  What a quality plant should be.  

The THC level may not be the highest, but not only is that suitable for me, but the exquisite balance of terpenes certainly does make it...”"
jeremym27,https://www.leafly.com/indica/zkittlez/reviews/1641979,"“Great sex”"
LeafyLau,https://www.leafly.com/indica/zkittlez/reviews/1580610,"“This unique strain leaves you salivating for more and more. The terpene profile is insane, with scents of grapefruit, citrus and sweeties - it is literally like a bag skittles. You can settle down and relax, gently crushing the nugs, which releases a phenomenal smell; resembling the sensation of someone shoving a grapefruit in your face. It leaves you feeling sedate and chirpy. The intesnity should not be underestima...”"
alyssarann,https://www.leafly.com/indica/zkittlez/reviews/1631337,"“God, I don't even know where to start with this strain. I took a hit from my vape of this strain last night and again earkier today, and each experience is magical. While I love smoking, I usually find myself feeling indifferent to its effects, but absolutely not with this stuff. While showering today, I felt a drop of water drip down my back and I could've sworn it was God himself seducing me. When I saw the light t...”"
BTR612,https://www.leafly.com/indica/zkittlez/reviews/1580576,"“Great strain for its specific need: an indica like high with the ability to have my mind and counscious about me but also not be revved up mentally like some strong sativas can do.  The taste is phenomenal with grape and fruity notes.  I am using a Timeless shatterpen when referencing my experience, BTW. This strain really gives you that body relaxation of a good indica, and mind relaxation at that, without any real ...”"
flavortrees,https://www.leafly.com/indica/zkittlez/reviews/1769342,"“This is an incredible strain, but when I rate strains 5 stars it's because they fulfill one category of effect particularly well. For Zkittles, it's that mental calm that's common with berry strains.

The flavor is incredible. The effects are generally typical for any other sativa, but your mind will be extremely "quieted" for lack of a better term. The is the kind of strain to enjoy when you just want some quiet tim...”"
lukem99,https://www.leafly.com/indica/zkittlez/reviews/1703037,"“This strain is simply incredible. From the very first puff, I get this amazing feeling of happiness. Not the gut feeling of euphoria associated with most indicas, but a very natural feeling happiness. Every care and worry in the world sails right away. Perfect for anxiety and depression. My favorite way to enjoy this strain is with the Timeless or Pura Earth cartridges.”"
GooglyDancingBear,https://www.leafly.com/indica/zkittlez/reviews/1652006,"“Skittles/Zkittlez is a nice fun mellow with a touch of energy periods. No real couchlock. Will be doing something and just drift off into a spacey stare for a minute or two. Still functional but maybe a bit slower. Probably have that goofy stoner grin on my face.”"
treydaytrey,https://www.leafly.com/indica/zkittlez/reviews/1679285,"“Unbelievable flavor that’s packs an overwhelming sensation as soon as you exhale. It’s a super strong strain that tastes exactly like a bag of Skittles. Grade A+”"
flavortrees,https://www.leafly.com/indica/zkittlez/reviews/1769342,"“This is an incredible strain, but when I rate strains 5 stars it's because they fulfill one category of effect particularly well. For Zkittles, it's that mental calm that's common with berry strains.

The flavor is incredible. The effects are generally typical for any other sativa, but your mind will be extremely "quieted" for lack of a better term. The is the kind of strain to enjoy when you just want some quiet tim...”"
1one1ystoner,https://www.leafly.com/indica/zkittlez/reviews/1745100,"“The sweet and unique aroma this bud has, and it’s lip smacking flavor makes it one of my ALL-TIME favorites; along side Blue Dream / Oakland Crypt / GSC / Gelato / Cookies / Mendos Breath 🔥🔥

Great day time strain, never feel have that couch locked feeling after smoking Zkittles”"
gladtrashbags,https://www.leafly.com/indica/zkittlez/reviews/1776855,"“At first I thought It was a weak high but then it hit me out of nowhere, HOLY SHIT, it got me high off my ass. If you have some major issue in your life like a break up or a lost loved one it’d be useful, this strain really helped me take a look at my life and what to do next. The only downsides are a really dry mouth and I was hungry as Trump is for money.”"
zkjev01,https://www.leafly.com/indica/zkittlez/reviews/1544017,"“This review is for the Timeless cartridge strain. If you're looking to get straight "stoned" .. Couch lock, relaxation, sedation.. This is for you. 4 stars for pain relief. Don't expect much euphoria in fact it really did the opposite for me, made me feel very inanimate and bland. I'm very high but it's not really very enjoyable I just feel a little anxious but mostly just.. Blah..however, I've spent way too much tim...”"
VapeQueen710,https://www.leafly.com/indica/zkittlez/reviews/1651427,"“Method: Select Vape Cartridge

Aroma: The first cartridge I've that smells like some top shelf, sweet, fruity weed. Anyone who smells it will know it is cannabis but I really like it. 1/1 Star.
Taste: Skittles. As if you just popped a whole handful of different flavors into your mouth at once. Delightful. One of the best tasting carts without tasting like added terps. 2/2 Stars.
Feel: A day time indica! It will relax...”"
Loudpack14,https://www.leafly.com/indica/zkittlez/reviews/1374437,"“I've been stuck on this indica strain for a couple weeks now. Two thumbs up from the smell all the way to the high. The taste is amazing!”"
YodaEnthusiast420,https://www.leafly.com/indica/zkittlez/reviews/1762399,"“This was my absolute favorite I’ve ever had. It’s purely amazing. It’s the most ideal bud you’d want and its thick white clouds perpetually make you want to keep going. Has a very clean and good hit, not hard or soft. If I could only smoke this for the rest of my life, I simply would. Yoda approved!!!”"
esimelsabio,https://www.leafly.com/indica/zkittlez/reviews/1230406,"“This Is A Fire Strain And Southwest Patient Group Holds Award Winning Grow That Should Definitely Be Checked Out. Fresh, Fragrant, Potent And Sticky with A Tasty Full Body Flavor When The Flower Is Drawn To Flame.”"
VapeQueen710,https://www.leafly.com/indica/zkittlez/reviews/1651427,"“Method: Select Vape Cartridge

Aroma: The first cartridge I've that smells like some top shelf, sweet, fruity weed. Anyone who smells it will know it is cannabis but I really like it. 1/1 Star.
Taste: Skittles. As if you just popped a whole handful of different flavors into your mouth at once. Delightful. One of the best tasting carts without tasting like added terps. 2/2 Stars.
Feel: A day time indica! It will relax...”"
zkjev01,https://www.leafly.com/indica/zkittlez/reviews/1544017,"“This review is for the Timeless cartridge strain. If you're looking to get straight "stoned" .. Couch lock, relaxation, sedation.. This is for you. 4 stars for pain relief. Don't expect much euphoria in fact it really did the opposite for me, made me feel very inanimate and bland. I'm very high but it's not really very enjoyable I just feel a little anxious but mostly just.. Blah..however, I've spent way too much tim...”"
vOfficialSupreme13,https://www.leafly.com/indica/zkittlez/reviews/1673010,"“I really liked this, I t made me feel a bit dizzy when I stood up”"
HamIsMyFavoriteColor,https://www.leafly.com/indica/zkittlez/reviews/1640994,"“I vaped a pre-filled oil cartridge.  Sometimes I can't pick up the subtle notes of many strains, but Zkittlez really has a nice taste, like...well... Skittles :)  A few hits and I felt very good.  I actually felt a bit frisky, but also felt very relaxed.  I laid in bed after a few more hits and just felt so at peace while watching TV, and before I knew it I had nodded off (I had been holding my phone, and it fell on ...”"
TyDye420420,https://www.leafly.com/indica/zkittlez/reviews/1683147,"“This strain knocked me out”"
